Entity,Code,Year,Annual CO2 emissions (per capita)
Pakistan,PAK,1950,0.14205551
Pakistan,PAK,1951,0.17303415
Pakistan,PAK,1952,0.17990753
Pakistan,PAK,1953,0.1799725
Pakistan,PAK,1954,0.17943811
Pakistan,PAK,1955,0.1812918
Pakistan,PAK,1956,0.21039192
Pakistan,PAK,1957,0.2126835
Pakistan,PAK,1958,0.23344253
Pakistan,PAK,1959,0.22123612
Pakistan,PAK,1960,0.2595286
Pakistan,PAK,1961,0.26241675
Pakistan,PAK,1962,0.28175586
Pakistan,PAK,1963,0.3162737
Pakistan,PAK,1964,0.31727272
Pakistan,PAK,1965,0.32463467
Pakistan,PAK,1966,0.321916
Pakistan,PAK,1967,0.33271044
Pakistan,PAK,1968,0.37134764
Pakistan,PAK,1969,0.35046
Pakistan,PAK,1970,0.3458274
Pakistan,PAK,1971,0.31933463
Pakistan,PAK,1972,0.3024025
Pakistan,PAK,1973,0.31124339
Pakistan,PAK,1974,0.32332072
Pakistan,PAK,1975,0.3403621
Pakistan,PAK,1976,0.3244799
Pakistan,PAK,1977,0.3356729
Pakistan,PAK,1978,0.34831917
Pakistan,PAK,1979,0.36345977
Pakistan,PAK,1980,0.39605486
Pakistan,PAK,1981,0.406227
Pakistan,PAK,1982,0.423436
Pakistan,PAK,1983,0.4394162
Pakistan,PAK,1984,0.45271885
Pakistan,PAK,1985,0.48200983
Pakistan,PAK,1986,0.48757046
Pakistan,PAK,1987,0.50827765
Pakistan,PAK,1988,0.5335605
Pakistan,PAK,1989,0.5401308
Pakistan,PAK,1990,0.58768713
Pakistan,PAK,1991,0.5660661
Pakistan,PAK,1992,0.58847654
Pakistan,PAK,1993,0.6147176
Pakistan,PAK,1994,0.6500693
Pakistan,PAK,1995,0.6281246
Pakistan,PAK,1996,0.6815979
Pakistan,PAK,1997,0.66360986
Pakistan,PAK,1998,0.66499394
Pakistan,PAK,1999,0.66394794
Pakistan,PAK,2000,0.6733146
Pakistan,PAK,2001,0.6619909
Pakistan,PAK,2002,0.69154686
Pakistan,PAK,2003,0.7040588
Pakistan,PAK,2004,0.7595932
Pakistan,PAK,2005,0.77244186
Pakistan,PAK,2006,0.80614775
Pakistan,PAK,2007,0.8542126
Pakistan,PAK,2008,0.82783884
Pakistan,PAK,2009,0.8174638
Pakistan,PAK,2010,0.7914893
Pakistan,PAK,2011,0.7786947
Pakistan,PAK,2012,0.7659797
Pakistan,PAK,2013,0.73792934
Pakistan,PAK,2014,0.7516356
Pakistan,PAK,2015,0.7888963
Pakistan,PAK,2016,0.9169495
Pakistan,PAK,2017,0.99897766
Pakistan,PAK,2018,0.93323416
Pakistan,PAK,2019,0.9228277
Pakistan,PAK,2020,0.88294756
Pakistan,PAK,2021,0.96563566
Pakistan,PAK,2022,0.84893465
